price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
315000,2,2.0,1400.0,East 55th Street,catering.restaurant,condo,manhattan,10022,new york,40.761255,-73.9744834,225.0
195000000,7,10.0,17545.0,New York,building.residential,condo,manhattan,10019,new york,40.7663935,-73.9809909,11114.277571957822
260000,4,2.0,2015.0,Staten Island,building.residential,house,staten island,10312,new york,40.5418051,-74.1961086,129.03225806451613
69000,3,1.0,445.0,New York,catering.bar,condo,manhattan,10022,new york,40.7613979,-73.9746128,155.0561797752809
55000000,7,2.3738608579684373,14175.0,New York,building,townhouse,manhattan,10065,new york,40.7672235,-73.9698561,3880.0705467372136
690000,5,2.0,4004.0,Brooklyn,building,house,brooklyn,11238,new york,40.6743632,-73.9587248,172.32767232767233
899500,2,2.0,2184.207862,Manhattan,building,condo,manhattan,10027,new york,40.809448,-73.946777,411.8197794491777
16800000,8,16.0,33000.0,Staten Island,building,house,staten island,10304,new york,40.5950017,-74.1064235,509.09090909090907
265000,1,1.0,750.0,Morrison Avenue,building.residential,co-op,the bronx,10473,new york,40.8215857,-73.8740892,353.3333333333333
440000,2,1.0,978.0,Midwood,building.residential,co-op,brooklyn,11230,new york,40.6157378,-73.9696944,449.89775051124747
375000,2,1.0,850.0,Concourse Village,building,co-op,the bronx,10451,new york,40.8248699,-73.9229829,441.1764705882353
689000,3,2.3738608579684373,1162.0,Staten Island,building.residential,townhouse,staten island,10303,new york,40.6249962,-74.1553058,592.9432013769364
259000,3,1.0,2184.207862,Flushing,building,co-op,queens,11372,new york,40.7531191,-73.8818757,118.57845789587218
430000,2,2.0,2184.207862,Elmhurst,building,co-op,queens,11373,new york,40.7438639,-73.8745722,196.8677100201739
895000,3,1.0,2184.207862,Manhattan,,co-op,manhattan,10014,new york,40.7382981,-74.0058899,409.75953597222235
549000,2,2.0,1000.0,Annadale,building.residential,condo,staten island,10312,new york,40.5406209,-74.1671632,549.0
975000,3,2.0,1734.0,Queens,building,townhouse,queens,11377,new york,40.7607676,-73.9056672,562.2837370242214
199000,3,1.0,325.0,Fort Hamilton,building,co-op,brooklyn,11209,new york,40.6181029,-74.0369047,612.3076923076923
350000,1,1.0,700.0,North Riverdale,building.residential,co-op,the bronx,10471,new york,40.9073699,-73.9065578,500.0
599000,2,2.0,974.0,Rego Park,building.residential,condo,queens,11374,new york,40.7324713,-73.8670804,614.9897330595483
639999,3,2.0,1260.0,Staten Island,building.residential,house,staten island,10301,new york,40.6207403,-74.1114362,507.9357142857143
1300000,2,2.0,1244.0,Forest Hills,building,condo,queens,11375,new york,40.7202429,-73.8430513,1045.016077170418
1100000,6,3.0,2837.0,The Bronx,building,multi-family home,the bronx,10465,new york,40.8343936,-73.8221101,387.73352132534365
349900,1,1.0,651.0,Dongan Hills,,condo,staten island,10304,new york,40.5902064,-74.0958034,537.4807987711214
750000,2,2.0,1330.0,Staten Island,building.residential,house,staten island,10307,new york,40.5039785,-74.2396555,563.9097744360902
1690000,6,4.0,2200.0,Queens,building,multi-family home,queens,11435,new york,40.710749,-73.809486,768.1818181818181
325000,1,1.0,2184.207862,Jackson Heights,building,co-op,queens,11372,new york,40.7505078,-73.8851355,148.79536222455002
2250000,12,2.3738608579684373,5670.0,Kings County,building,multi-family home,brooklyn,11214,new york,40.602654,-73.9869399,396.8253968253968
230000,1,1.0,2184.207862,Queens,building.residential,co-op,queens,11372,new york,40.7557689,-73.8734231,105.30133326660463
1299888,10,6.0,3156.0,Clifton,building,multi-family home,staten island,10304,new york,40.6155667,-74.0869554,411.8783269961977
925000,5,2.0,2750.0,The Bronx,building,multi-family home,the bronx,10465,new york,40.8242389,-73.8173809,336.3636363636364
329000,1,2.0,794.0,Staten Island,,condo,staten island,10314,new york,40.6210398,-74.1504313,414.35768261964733
1300000,10,8.0,5040.0,Mariners Harbor,building,multi-family home,staten island,10303,new york,40.6274381,-74.1581613,257.93650793650795
848000,5,4.0,2080.0,Brooklyn,building,multi-family home,brooklyn,11207,new york,40.6615475,-73.898309,407.6923076923077
279000,1,1.0,750.0,Midwood,building.residential,co-op,brooklyn,11210,new york,40.6179165,-73.9546305,372.0
528000,1,1.0,602.0,Dyker Heights,building,condo,brooklyn,11204,new york,40.6275896,-74.0016198,877.0764119601329
275000,1,1.0,2184.207862,Flushing,,co-op,queens,11355,new york,40.7528774,-73.8211834,125.90376803615771
1165000,1,1.0,815.0,Williamsburg,,condo,brooklyn,11249,new york,40.711969,-73.9649468,1429.4478527607362
1199000,6,5.0,3290.0,Staten Island,,multi-family home,staten island,10307,new york,40.5159256,-74.2361135,364.4376899696049
700000,6,2.0,3053.0,The Bronx,building,multi-family home,the bronx,10453,new york,40.852813,-73.9176871,229.28267278087128
2150000,8,4.0,3200.0,Brooklyn,building,multi-family home,brooklyn,11204,new york,40.614446,-73.9795824,671.875
1280000,7,5.0,2460.0,Queens,building,multi-family home,queens,11421,new york,40.688312,-73.856322,520.3252032520326
199900,1,1.0,2184.207862,Concourse,,co-op,the bronx,10451,new york,40.8260352,-73.9256625,91.52059356519246
369000,2,1.0,2184.207862,Flushing,,co-op,queens,11355,new york,40.753455,-73.8209077,168.93996511033527
699000,4,3.0,1591.0,Queens,building.residential,multi-family home,queens,11435,new york,40.6847504,-73.8027331,439.3463230672533
4250000,3,2.0,2400.0,Manhattan,,co-op,manhattan,10012,new york,40.725464,-73.9999212,1770.8333333333333
825000,2,2.0,2184.207862,Queens,building,multi-family home,queens,11358,new york,40.768457,-73.789417,377.71130410847314
329000,2,1.0,837.0,Mid Island,building.residential,condo,staten island,10304,new york,40.6315346,-74.0856344,393.0704898446834
889000,2,2.0,1520.0,Staten Island,building,multi-family home,staten island,10314,new york,40.6233188,-74.1259917,584.8684210526316
769000,2,2.0,2184.207862,Queens,building,multi-family home,queens,11419,new york,40.6868333,-73.8309133,352.07271861747375
1200000,4,2.0,2536.0,Brooklyn,building,multi-family home,brooklyn,11214,new york,40.6042861,-74.0012526,473.18611987381706
220500,2,1.0,900.0,Mid Island,,co-op,howland hook,10301,new york,40.6481488,-74.0847983,245.0
1999000,3,3.0,2739.0,Brooklyn,building,multi-family home,brooklyn,11209,new york,40.6281691,-74.0297598,729.8284045271997
3250000,2,2.0,1300.0,Centre Street,tourism.sights,co-op,manhattan,10013,new york,40.7199716,-73.9980266,2500.0
1650000,2,2.0,1267.0,Cobble Hill,building,condo,brooklyn,11231,new york,40.6866098,-73.9997131,1302.2888713496448
1049000,4,4.0,2554.0,Staten Island,building.residential,multi-family home,staten island,10307,new york,40.5016233,-74.2417531,410.72826938136257
998800,3,4.0,2400.0,Staten Island,building,house,staten island,10301,new york,40.6175,-74.103996,416.1666666666667
998800,3,4.0,2400.0,Richmond County,,house,silver lake,10301,new york,40.618648,-74.1019085,416.1666666666667
3150000,3,2.0,1952.0,Park Slope,building.residential,for sale,brooklyn,11217,new york,40.6754035,-73.9742051,1613.7295081967213
849000,1,1.0,2184.207862,Manhattan,,co-op,manhattan,10023,new york,40.7802357,-73.9846328,388.69926931890143
559500,1,1.0,800.0,Brighton Beach,building.residential,co-op,brooklyn,11235,new york,40.5751942,-73.9669983,699.375
750000,1,1.0,835.0,Manhattan,building,co-op,manhattan,10065,new york,40.7643711,-73.9593578,898.2035928143713
1900000,2,2.0,1029.0,Manhattan,building.residential,condo,manhattan,10002,new york,40.7193408,-73.9856438,1846.45286686103
1250000,2,2.0,1201.0,Flatbush,,condo,brooklyn,11218,new york,40.6400234,-73.9676099,1040.7993338884264
1395000,2,2.0,1182.0,Prospect Heights,building.residential,condo,brooklyn,11238,new york,40.6787789,-73.9643728,1180.2030456852792
198000,1,1.0,2184.207862,Woodhaven,building,co-op,queens,11421,new york,40.700309,-73.8535466,90.65071298603355
619888,3,2.0,1400.0,Staten Island,building,contingent,staten island,10306,new york,40.5632116,-74.1002521,442.77714285714285
1489000,6,2.3738608579684373,3780.0,Staten Island,building.residential,multi-family home,staten island,10308,new york,40.5395319,-74.1450877,393.9153439153439
65000000,3,2.3738608579684373,15200.0,New York,building,townhouse,manhattan,10075,new york,40.7765613,-73.9633167,4276.315789473684
1595000,3,3.0,1413.0,Brooklyn,building,condo,brooklyn,11221,new york,40.6915139,-73.935444,1128.8039631988677
655000,3,2.0,803.0,Brooklyn,building,condo,brooklyn,11237,new york,40.6967268,-73.9074036,815.6911581569116
2880000,9,2.3738608579684373,2350.0,Queens,building,multi-family home,queens,11357,new york,40.7832094,-73.7967588,1225.531914893617
798000,3,4.0,2150.0,Staten Island,building.residential,multi-family home,staten island,10305,new york,40.5874844,-74.0701056,371.16279069767444
1685000,3,2.3738608579684373,2184.207862,Queens,building.garage,land,queens,11385,new york,40.7083434,-73.9081614,771.4467241488209
31000000,3,4.0,4492.0,Manhattan,building.residential,condo,manhattan,10019,new york,40.764953,-73.977568,6901.157613535173
2550000,3,2.3738608579684373,2184.207862,Brooklyn,,land,brooklyn,11235,new york,40.5785288,-73.9655666,1167.471303608008
119000,3,2.3738608579684373,2184.207862,The Bronx,building,land,the bronx,10466,new york,40.8841699,-73.8388387,54.4819941683737
269000,5,2.0,2184.207862,Queens,building,foreclosure,queens,11422,new york,40.6534433,-73.741373,123.15677673355063
1650000,2,2.0,1065.0,Manhattan,,condo,upper east side,10128,new york,40.7833546,-73.9499982,1549.2957746478874
12950000,5,4.0,3344.0,New York,,townhouse,manhattan,10014,new york,40.7363219,-74.0018035,3872.6076555023924
5750000,3,2.0,2223.0,Manhattan,building,condo,manhattan,10010,new york,40.736608,-73.9822819,2586.5946918578497
250000,5,2.0,2184.207862,Queens,building,multi-family home,queens,11436,new york,40.66911,-73.789339,114.45797094196156
950000,6,2.3738608579684373,3384.0,Jamaica,building,pending,queens,11422,new york,40.6499031,-73.7354706,280.73286052009456
585000,3,2.0,1100.0,Staten Island,building,house,staten island,10306,new york,40.5784263,-74.105437,531.8181818181819
8750000,6,6.0,2184.207862,Brooklyn,,house,bayridge,11209,new york,40.6282935,-74.0379695,4006.0289829686544
595000,3,1.0,1316.0,Brooklyn,building,house,brooklyn,11234,new york,40.6239146,-73.9291226,452.1276595744681
215000,1,1.0,625.0,Manhattan,building,condo,manhattan,10012,new york,40.7267732,-74.002538,344.0
950000,1,1.0,621.0,New York,building,for sale,manhattan,10025,new york,40.7986579,-73.9679035,1529.790660225443
314000,3,1.0,1572.0,Brooklyn,building,house,brooklyn,11210,new york,40.6362368,-73.939679,199.74554707379136
395000,5,1.0,1000.0,New York,building,condo,manhattan,10021,new york,40.7700395,-73.9638872,395.0
600000,2,2.0,2184.207862,The Bronx,building,multi-family home,the bronx,10465,new york,40.8429545,-73.8249591,274.69913026070776
790000,6,3.0,2520.0,Staten Island,building,multi-family home,staten island,10314,new york,40.6105856,-74.1268175,313.4920634920635
539000,2,2.0,1100.0,Fort Hamilton,building,co-op,brooklyn,11209,new york,40.6170731,-74.0383836,490.0
1295000,4,2.0,1995.0,Spuyten Duyvil,building,co-op,the bronx,10463,new york,40.8809873,-73.9224337,649.1228070175439
245000,3,1.0,2184.207862,The Bronx,building,house,the bronx,10469,new york,40.8690109,-73.8564445,112.16881152312233
400000,7,3.0,2385.0,The Bronx,building,house,the bronx,10470,new york,40.8969146,-73.8654984,167.71488469601678
55000000,8,8.0,12000.0,New York,building,house,manhattan,10023,new york,40.782238,-73.9846322,4583.333333333333
280000,1,1.0,1000.0,Bay Ridge,building,co-op,brooklyn,11209,new york,40.6241766,-74.0216837,280.0
899000,3,2.0,1440.0,Staten Island,building.residential,house,staten island,10309,new york,40.5159004,-74.2314825,624.3055555555555
649000,4,3.0,2184.207862,Brooklyn,building,coming soon,brooklyn,11231,new york,40.6813429,-73.9981509,297.1328925653322
739000,6,4.0,2184.207862,Brooklyn,building,pending,brooklyn,11229,new york,40.5877991,-73.9216187,338.33776210443835
1495000,4,2.3738608579684373,3000.0,Staten Island,building.residential,house,staten island,10312,new york,40.5247627,-74.1681035,498.3333333333333
3950000,5,2.0,3528.0,Brooklyn,building,house,brooklyn,11215,new york,40.6680619,-73.9748375,1119.6145124716554
325000,2,1.0,979.0,Manhattan,building,condo,manhattan,10029,new york,40.7897507,-73.9487257,331.97139938712974
299999,3,1.0,2184.207862,Manhattan,building.residential,pending,manhattan,10023,new york,40.7810583,-73.9808407,137.3491072984701
2695000,6,5.0,4720.0,New York,building,townhouse,manhattan,10031,new york,40.8235127,-73.9467514,570.9745762711865
4800000,6,2.3738608579684373,3958.0,Brooklyn,building,pending,brooklyn,11228,new york,40.6178184,-74.0151165,1212.733703890854
694000,3,3.0,1360.0,Staten Island,building,house,staten island,10308,new york,40.5423126,-74.1555672,510.29411764705884
688888,4,2.0,2846.0,The Bronx,building,house,the bronx,10467,new york,40.8726182,-73.8651768,242.05481377371748
400000,4,2.0,1980.0,Brooklyn,building,house,brooklyn,11208,new york,40.665357,-73.8770867,202.02020202020202
346000,5,2.0,2184.207862,Queens,building,multi-family home,queens,11417,new york,40.6837891,-73.8381042,158.4098317836748
265000,3,1.0,2184.207862,Queens,building.residential,house,queens,11413,new york,40.67538,-73.7472571,121.32544919847925
319000,3,2.0,1224.0,Staten Island,building,house,staten island,10306,new york,40.5604695,-74.1018925,260.62091503267976
24800000,6,8.0,2184.207862,New York,building,townhouse,manhattan,10021,new york,40.772929,-73.9635462,11354.230717442586
1100000,9,4.0,3276.0,New York,building,house,manhattan,10032,new york,40.8307115,-73.9424229,335.77533577533575
309000,6,2.0,2184.207862,Queens,building,multi-family home,queens,11691,new york,40.5980695,-73.7632649,141.4700520842645
650000,3,2.0,1522.0,Queens,building,house,queens,11428,new york,40.723245,-73.7293286,427.0696452036794
799000,4,2.0,1975.0,Staten Island,building.residential,house,staten island,10312,new york,40.5387812,-74.193378,404.55696202531647
259000,3,2.0,1089.0,The Bronx,building,co-op,the bronx,10465,new york,40.8246371,-73.8072061,237.83287419651057
1195000,4,4.0,2704.0,Staten Island,building.residential,house,staten island,10309,new york,40.5143019,-74.2044734,441.9378698224852
17500000,5,6.0,5499.0,New York,building,condo,manhattan,10007,new york,40.7143354,-74.0087443,3182.396799418076
189000,2,2.0,966.0,Shore Acres,building,condo,staten island,10305,new york,40.6109595,-74.060351,195.65217391304347
759000,3,2.0,1200.0,Bayside,building,condo,queens,11360,new york,40.7881763,-73.7877051,632.5
275000,4,1.0,2184.207862,Brooklyn,building,house,brooklyn,11210,new york,40.6366859,-73.9488175,125.90376803615771
499000,1,1.0,630.0,Manhattan,building.residential,condo,manhattan,10021,new york,40.7702318,-73.9610161,792.063492063492
1249000,3,2.3738608579684373,2184.207862,The Bronx,building,house,the bronx,10463,new york,40.8822913,-73.9137305,571.83202282604
69900,2,1.0,700.0,The Bronx,,co-op,throgs neck,10465,new york,40.8224987,-73.8111568,99.85714285714286
1150000,12,6.0,5508.0,Queens,building.residential,multi-family home,queens,11103,new york,40.755049,-73.9136386,208.78721859114015
1749900,5,4.0,3740.0,New York,building,foreclosure,manhattan,10031,new york,40.824015,-73.9502067,467.88770053475935
1399000,3,4.0,1993.0,Glen Oaks,,co-op,queens county,11005,new york,40.7566899,-73.72075,701.9568489714
649000,3,2.0,1182.0,Fresh Meadows,building,condo,queens,11365,new york,40.7302938,-73.8059248,549.0693739424704
499000,5,2.0,1760.0,The Bronx,building,house,the bronx,10458,new york,40.8663864,-73.8878945,283.52272727272725
1050000,5,4.0,3132.0,The Bronx,building,multi-family home,the bronx,10465,new york,40.8176549,-73.8197053,335.2490421455939
5000000,10,9.0,6425.0,New York,building,townhouse,manhattan,10024,new york,40.7832598,-73.976047,778.2101167315175
90000,1,1.0,660.0,Staten Island,building,pending,staten island,10306,new york,40.574451,-74.0929448,136.36363636363637
56000000,11,10.0,24000.0,New York,building,house,manhattan,10019,new york,40.7616,-73.9761913,2333.3333333333335
650000,3,2.3738608579684373,1638.0,The Bronx,building,townhouse,the bronx,10465,new york,40.8454501,-73.8209766,396.8253968253968
500000,4,3.0,1794.0,Manhattan,building.residential,condo,manhattan,10024,new york,40.7905714,-73.9753392,278.70680044593087
350000,2,1.0,490.0,Staten Island,building,house,staten island,10306,new york,40.5731273,-74.089182,714.2857142857143
