LATITUDE,LONGITUDE,STATE,LOCALITY,SUBLOCALITY,POSTCODE,PROPERTY_CATEGORY
40.761255,-73.9744834,New York,New York,Manhattan,10022,catering.restaurant
40.7663935,-73.9809909,New York,New York,Manhattan,10019,building.residential
40.5418051,-74.1961086,New York,New York,Staten Island,10312,building.residential
40.7613979,-73.9746128,New York,New York,Manhattan,10022,catering.bar
40.7672235,-73.9698561,New York,New York,Manhattan,10065,building
40.6743632,-73.9587248,New York,New York,Brooklyn,11238,building
40.809448,-73.946777,New York,New York,Manhattan,10027,building
40.5950017,-74.1064235,New York,New York,Staten Island,10304,building
40.8215857,-73.8740892,New York,New York,The Bronx,10473,building.residential
40.6157378,-73.9696944,New York,New York,Brooklyn,11230,building.residential
40.8248699,-73.9229829,New York,New York,The Bronx,10451,building
40.6249962,-74.1553058,New York,New York,Staten Island,10303,building.residential
40.7531191,-73.8818757,New York,New York,Queens,11372,building
40.7438639,-73.8745722,New York,New York,Queens,11373,building
40.7382981,-74.0058899,New York,New York,Manhattan,10014,
40.5406209,-74.1671632,New York,New York,Staten Island,10312,building.residential
40.7607676,-73.9056672,New York,New York,Queens,11377,building
40.6181029,-74.0369047,New York,New York,Brooklyn,11209,building
40.9073699,-73.9065578,New York,New York,The Bronx,10471,building.residential
40.7324713,-73.8670804,New York,New York,Queens,11374,building.residential
40.6207403,-74.1114362,New York,New York,Staten Island,10301,building.residential
40.7202429,-73.8430513,New York,New York,Queens,11375,building
40.8343936,-73.8221101,New York,New York,The Bronx,10465,building
40.5902064,-74.0958034,New York,New York,Staten Island,10304,
40.5039785,-74.2396555,New York,New York,Staten Island,10307,building.residential
40.710749,-73.809486,New York,New York,Queens,11435,building
40.7505078,-73.8851355,New York,New York,Queens,11372,building
40.602654,-73.9869399,New York,New York,Brooklyn,11214,building
40.7557689,-73.8734231,New York,New York,Queens,11372,building.residential
40.6155667,-74.0869554,New York,New York,Staten Island,10304,building
40.8242389,-73.8173809,New York,New York,The Bronx,10465,building
40.6210398,-74.1504313,New York,New York,Staten Island,10314,
40.6274381,-74.1581613,New York,New York,Staten Island,10303,building
40.6615475,-73.898309,New York,New York,Brooklyn,11207,building
40.6179165,-73.9546305,New York,New York,Brooklyn,11210,building.residential
40.6275896,-74.0016198,New York,New York,Brooklyn,11204,building
40.6155667,-74.0869554,New York,New York,Staten Island,10304,building
40.7528774,-73.8211834,New York,New York,Queens,11355,
40.711969,-73.9649468,New York,New York,Brooklyn,11249,
40.5159256,-74.2361135,New York,New York,Staten Island,10307,
40.852813,-73.9176871,New York,New York,The Bronx,10453,building
40.614446,-73.9795824,New York,New York,Brooklyn,11204,building
